month,price,area
2002-02,4.1625000000000005,London
2002-03,4.765384615384615,London
2002-04,4.714285714285714,London
2002-05,4.166666666666667,London
2002-06,4.180000000000001,London
2002-07,4.4375,London
2002-08,4.4375,London
2002-09,4.394117647058824,London
2002-10,4.405882352941177,London
2002-11,4.405882352941177,London
2002-12,4.417647058823529,London
2003-01,4.411764705882353,London
2003-02,4.0588235294117645,London
2003-03,4.066666666666666,London
2003-04,4.053333333333333,London
2003-05,4,London
2003-06,4.053333333333333,London
2003-07,4.173529411764706,London
2003-08,4.240625,London
2003-09,4.161764705882353,London
2003-10,4.1499999999999995,London
2003-11,3.975,London
2003-12,3.929411764705882,London
2004-01,3.8970588235294117,London
2004-02,4.01875,London
2004-03,3.9823529411764707,London
2004-04,4.0375,London
2004-05,4.04375,London
2004-06,4.183333333333334,London
2004-07,4.094444444444445,London
2004-08,3.926470588235294,London
2004-09,4.229411764705882,London
2004-10,4.129411764705883,London
2004-11,4.129411764705883,London
2004-12,4.141176470588236,London
2005-01,4.141176470588236,London
2005-02,4.01875,London
2005-03,4.164285714285714,London
2005-04,4.113333333333333,London
2005-05,3.713636363636364,London
2005-06,4.1,London
2005-07,4.13125,London
2005-08,4.1000000000000005,London
2005-09,3.93125,London
2005-10,4.076470588235294,London
2005-11,4.313888888888889,London
2005-12,4.273529411764706,London
2006-01,4.109375,London
2006-02,4.363333333333333,London
2006-03,4.626666666666667,London
2006-04,4.5125,London
2006-05,4.309375,London
2006-06,4.405555555555555,London
2006-07,4.405555555555555,London
2006-08,4.427777777777778,London
2006-09,4.438888888888889,London
2006-10,4.533333333333333,London
2006-11,4.533333333333333,London
2006-12,4.533333333333333,London
2007-01,4.54,London
2007-02,4.428125,London
2007-03,4.673529411764706,London
2007-04,4.614705882352942,London
2007-05,4.620588235294117,London
2007-06,4.626470588235295,London
2007-07,4.626470588235295,London
2007-08,4.626470588235295,London
2007-09,4.55625,London
2007-10,4.517647058823529,London
2007-11,4.591666666666666,London
2007-12,4.591666666666667,London
2008-01,4.6499999999999995,London
2008-02,4.617647058823529,London
2008-03,4.666666666666667,London
2008-04,4.5588235294117645,London
2008-05,4.5744444444444445,London
2008-06,4.5744444444444445,London
2008-07,4.505294117647059,London
2008-08,4.522941176470589,London
2008-09,4.541176470588235,London
2008-10,4.7026666666666666,London
2008-11,4.623333333333333,London
2008-12,4.630000000000001,London
2009-01,4.6975,London
2009-02,4.802666666666667,London
2009-03,4.7212499999999995,London
2009-04,4.736875,London
2009-05,4.834705882352941,London
2009-06,4.925882352941176,London
2009-07,4.927222222222222,London
2009-08,5.075882352941177,London
2009-09,4.982777777777778,London
2009-10,4.982777777777778,London
2009-11,4.993888888888889,London
2009-12,4.993888888888889,London
2010-01,5.055,London
2010-02,5.152352941176471,London
2010-03,5.0582352941176465,London
2010-04,5.081764705882353,London
2010-05,5.093529411764706,London
2010-06,5.093529411764706,London
2010-07,5.2993749999999995,London
2010-08,5.0994117647058825,London
2010-09,5.1641176470588235,London
2010-10,5.1641176470588235,London
2010-11,5.222941176470589,London
2010-12,5.288823529411765,London
2011-01,5.4225,London
2011-02,5.501333333333333,London
2011-03,5.3825,London
2011-04,5.3825,London
2011-05,5.3825,London
2011-06,5.410625,London
2011-07,5.438,London
2011-08,5.457058823529412,London
2011-09,5.368823529411764,London
2011-10,5.520555555555556,London
2011-11,5.531666666666667,London
2011-12,5.645294117647059,London
2012-01,5.559444444444444,London
2012-02,5.495555555555556,London
2012-03,5.580588235294118,London
2012-04,5.662941176470588,London
2012-05,5.565,London
2012-06,5.680588235294117,London
2012-07,5.654375,London
2012-08,5.7379999999999995,London
2012-09,5.586470588235294,London
2012-10,5.526111111111111,London
2012-11,5.657058823529412,London
2012-12,5.598333333333333,London
2013-01,5.598333333333333,London
2013-02,5.402941176470588,London
2013-03,5.352777777777778,London
2013-04,5.341666666666667,London
2013-05,5.288888888888889,London
2013-06,5.370588235294117,London
2013-07,5.288888888888889,London
2013-08,5.305555555555555,London
2013-09,5.233333333333333,London
2013-10,5.233333333333333,London
2013-11,5.266666666666667,London
2013-12,5.283333333333333,London
2014-01,5.526666666666667,London
2014-02,5.21,London
2014-03,5.030555555555555,London
2014-04,5.097058823529412,London
2014-05,5.019444444444444,London
2014-06,5.019444444444444,London
2014-07,5.019444444444444,London
2014-08,5.041666666666667,London
2014-09,5.061764705882353,London
2014-10,5.061764705882353,London
2014-11,5.153125,London
2014-12,5.091176470588235,London
2015-01,5.091176470588235,London
2015-02,5.3375,London
2015-03,5.270588235294118,London
2015-04,5.270588235294118,London
2015-05,5.227777777777778,London
2015-06,5.405882352941176,London
2015-07,5.260000000000001,London
2015-08,5.188235294117647,London
2015-09,5.142857142857143,London
2015-10,5.1866666666666665,London
2015-11,5.25625,London
2015-12,5.235294117647059,London
2016-01,5.223529411764706,London
2016-02,5.323529411764706,London
2016-03,5.323529411764706,London
2016-04,5.246666666666667,London
2016-05,5.3125,London
2016-06,5.2733333333333325,London
2016-07,5.3375,London
2016-08,5.591176470588235,London
