team,season,revenue,points
Man City,2022,613,93
Man Utd,2022,583.2,58
Chelsea,2022,481.3,74
Arsenal,2022,342.2,69
Tottenham,2022,443.4,71
Liverpool,2022,594.3,92
Everton,2022,181,39
West Ham,2022,251.8,56
Crystal Palace,2022,160,48
Wolves,2022,165.5,51
Leicester,2022,214.6,52
Brighton,2022,167.4,51
Newcastle,2022,180,49
Brentford,2022,140.9,46
Aston Villa,2022,163.7,45
Southampton,2022,150.6,40
Leeds,2022,189.2,38
Burnley,2022,123.4,35
Watford,2022,128.1,23
Norwich,2022,141,22
