name,annual_gross_gbp,season
Kevin De Bruyne,20800000,2024-2025
Harry Toffolo,1820000,2024-2025
Danilo,1560000,2024-2025
Crysencio Summerville,1560000,2024-2025
Ramón Sosa,1560000,2024-2025
Bilal El Khannouss,1820000,2024-2025
Tariq Lamptey,1820000,2024-2025
Jake O&#39;Brien,1820000,2024-2025
Adam Wharton,1820000,2024-2025
Sasa Kalajdzic,1820000,2024-2025
Matz Sels,1820000,2024-2025
Max Aarons,1820000,2024-2025
Jacob Murphy,1820000,2024-2025
Marcus Tavernier,1820000,2024-2025
Marcus Bettinelli,1820000,2024-2025
Harry Wilson,1820000,2024-2025
Nicolás Domínguez,1820000,2024-2025
Jacob Greaves,1300000,2024-2025
Jarrad Branthwaite,1820000,2024-2025
Jean-Ricner Bellegarde,1820000,2024-2025
Jens Cajuste,1820000,2024-2025
Bart Verbruggen,1820000,2024-2025
André Trindade,1820000,2024-2025
Joel Ward,1820000,2024-2025
Álex Moreno,1820000,2024-2025
Ben Brereton,1820000,2024-2025
Dango Ouattara,1820000,2024-2025
Rico Henry,1820000,2024-2025
Morato,1820000,2024-2025
Christian Nørgaard,1820000,2024-2025
Andrew Omobamidele,1820000,2024-2025
Keane Lewis-Potter,1820000,2024-2025
Dean Huijsen,1560000,2024-2025
Charlie Taylor,1560000,2024-2025
Chadi Riad,1560000,2024-2025
Ethan Pinnock,1560000,2024-2025
Jota Silva,1300000,2024-2025
Gustavo Nunes,1300000,2024-2025
Victor Kristiansen,1300000,2024-2025
George Hirst,1430000,2024-2025
Nathan Patterson,1456000,2024-2025
Amad Diallo,1500000,2024-2025
Youssef Chermiti,1560000,2024-2025
Vitaly Janelt,1560000,2024-2025
Tom Cairney,1560000,2024-2025
Scott Carson,1560000,2024-2025
Santiago Bueno,1560000,2024-2025
Samy Morsy,1560000,2024-2025
Paul Onuachu,1560000,2024-2025
Nathan Collins,1560000,2024-2025
Murillo,1560000,2024-2025
Milos Kerkez,1560000,2024-2025
Mikkel Damsgaard,1560000,2024-2025
Mark Flekken,1560000,2024-2025
Asmir Begovic,1560000,2024-2025
Ben Johnson,1560000,2024-2025
Joshua Da Silva,1560000,2024-2025
Jordan Ayew,1560000,2024-2025
João Gomes,1560000,2024-2025
Jarell Quansah,1560000,2024-2025
Jan Paul van Hecke,1560000,2024-2025
James Justin,1560000,2024-2025
James Garner,1560000,2024-2025
Flynn Downes,1560000,2024-2025
Evan Ferguson,1560000,2024-2025
Bobby Reid,1820000,2024-2025
Altay Bayındır,1820000,2024-2025
Vladimír Coufal,1820000,2024-2025
Lesley Ugochukwu,2340000,2024-2025
Fabian Schär,2340000,2024-2025
Rob Holding,2340000,2024-2025
Bryan Mbeumo,2340000,2024-2025
Roméo Lavia,2340000,2024-2025
Craig Dawson,2340000,2024-2025
Tom Heaton,2340000,2024-2025
Ryan Sessegnon,2340000,2024-2025
Daniel Muñoz,2340000,2024-2025
Calvin Bassey,2340000,2024-2025
Jack Stephens,2340000,2024-2025
Igor,2340000,2024-2025
Adam Lallana,2340000,2024-2025
Callum Wilson,2392000,2024-2025
Wout Faes,2600000,2024-2025
Neto,2600000,2024-2025
Wataru Endo,2600000,2024-2025
Neco Williams,2600000,2024-2025
Ilya Zabarnyi,2600000,2024-2025
Beto,2600000,2024-2025
Harrison Reed,2600000,2024-2025
Ryan Yates,2600000,2024-2025
Djed Spence,2600000,2024-2025
Solly March,2600000,2024-2025
Maxence Lacroix,2600000,2024-2025
Filip Jørgensen,2600000,2024-2025
Will Hughes,2600000,2024-2025
Tino Livramento,2600000,2024-2025
Marc Guéhi,2600000,2024-2025
Marc Guiu,2600000,2024-2025
Philip Billing,2340000,2024-2025
Malo Gusto,2340000,2024-2025
Kristoffer Ajer,2080000,2024-2025
Mario Lemina,2340000,2024-2025
Elliot Anderson,2080000,2024-2025
Emmanuel Dennis,2080000,2024-2025
Tyrick Mitchell,2080000,2024-2025
Fábio Carvalho,2080000,2024-2025
Yankuba Minteh,2080000,2024-2025
Sávio,2080000,2024-2025
Ryan Fraser,2080000,2024-2025
Jamaal Lascelles,2080000,2024-2025
Matt Turner,2080000,2024-2025
Armando Broja,2080000,2024-2025
Alex McCarthy,2080000,2024-2025
Martin Dubravka,2080000,2024-2025
Willy Boly,2080000,2024-2025
Adam Smith,2080000,2024-2025
Yukinari Sugawara,2080000,2024-2025
Alex Scott,2080000,2024-2025
Harvey Elliott,2080000,2024-2025
Ashley Young,2080000,2024-2025
Ola Aina,2080000,2024-2025
Sam Johnstone,2080000,2024-2025
Carlos Vinícius,2080000,2024-2025
Cameron Archer,2080000,2024-2025
Matheus França,2080000,2024-2025
José Sá,2080000,2024-2025
Axel Tuanzebe,2080000,2024-2025
Jaden Philogene-Bidace,2080000,2024-2025
Danny Ward,2080000,2024-2025
Kamaldeen Sulemana,2080000,2024-2025
Iliman Ndiaye,2340000,2024-2025
Dara O&#39;Shea,1300000,2024-2025
Toti Gomes,1300000,2024-2025
Marcos Senesi,2600000,2024-2025
Conor Bradley,520000,2024-2025
Cesare Casadei,390000,2024-2025
Taylor Harwood-Bellis,390000,2024-2025
Michael Golding,416000,2024-2025
Yasin Ayari,416000,2024-2025
Eric da Silva Moreira,416000,2024-2025
Cameron Burgess,416000,2024-2025
John Ruddy,416000,2024-2025
Lamare Bogarde,416000,2024-2025
Bastien Meupiyou,416000,2024-2025
Yerson Mosquera,416000,2024-2025
Mark Gillespie,520000,2024-2025
Julio Enciso,520000,2024-2025
Jakub Moder,520000,2024-2025
Steven Benda,520000,2024-2025
Joe Lumley,520000,2024-2025
Anthony Elanga,1300000,2024-2025
Joe Gauci,520000,2024-2025
Stephy Mavididi,520000,2024-2025
Jack Hinshelwood,520000,2024-2025
Jack Taylor,520000,2024-2025
Mads Hermansen,520000,2024-2025
Kortney Hause,520000,2024-2025
Caoimhín Kelleher,520000,2024-2025
Rayan Aït-Nouri,520000,2024-2025
Hákon Rafn Valdimarsson,520000,2024-2025
Jakub Stolarczyk,520000,2024-2025
Tom King,520000,2024-2025
James Bree,520000,2024-2025
Harry Clarke,520000,2024-2025
Tommy Doyle,520000,2024-2025
João Virgínia,390000,2024-2025
Luke Woolfenden,390000,2024-2025
Rodrigo Muniz,390000,2024-2025
Lucas Bergström,390000,2024-2025
Erling Haaland,19500000,2024-2025
Will Dennis,104000,2024-2025
Ryan Trevitt,130000,2024-2025
Imari Samuels,156000,2024-2025
Paris Maghoma,156000,2024-2025
Zach Abbott,156000,2024-2025
Alex Murphy,156000,2024-2025
Cieran Slicker,156000,2024-2025
Killian Cahill,156000,2024-2025
Louie Moulden,260000,2024-2025
Toby Collyer,260000,2024-2025
Ed Turns,260000,2024-2025
Andy Irving,260000,2024-2025
James Hill,260000,2024-2025
Garang Kuol,260000,2024-2025
Tyler Dibling,260000,2024-2025
Ji-soo Kim,260000,2024-2025
Yegor Yarmolyuk,260000,2024-2025
Lewis Miley,260000,2024-2025
Daniel Gore,260000,2024-2025
Samuel Amo-Ameyaw,260000,2024-2025
Nathan Broadhead,312000,2024-2025
Omari Hutchinson,312000,2024-2025
Josh Wilson-Esbrand,364000,2024-2025
Vitezslav Jaros,364000,2024-2025
Matthew Cox,364000,2024-2025
Lewis Hall,364000,2024-2025
Alfie Whiteman,390000,2024-2025
Remi Matthews,390000,2024-2025
Massimo Luongo,520000,2024-2025
Ali Al-Hamadi,520000,2024-2025
Issahaku Fatawu,520000,2024-2025
Sepp van den Berg,1040000,2024-2025
Mads Roerslev Rasmussen,1040000,2024-2025
Kyle Walker-Peters,1040000,2024-2025
Daniel Iversen,1040000,2024-2025
Liam Delap,1040000,2024-2025
Daniel Bentley,1040000,2024-2025
Mark Travers,1040000,2024-2025
Ross Stewart,1040000,2024-2025
Gavin Bazunu,1040000,2024-2025
Morgan Rogers,1040000,2024-2025
Tim Iroegbunam,1040000,2024-2025
Jean-Clair Todibo,1040000,2024-2025
Jason Steele,1040000,2024-2025
Isaac Hayden,1144000,2024-2025
Jack Clarke,1300000,2024-2025
Rico Lewis,1300000,2024-2025
Leif Davis,1300000,2024-2025
Will Smallbone,1300000,2024-2025
Wilson Odobert,1300000,2024-2025
Luis Guilherme,1300000,2024-2025
Rodrigo Gomes,1300000,2024-2025
Caleb Okoli,1300000,2024-2025
Facundo Buonanotte,1300000,2024-2025
Yoane Wissa,1300000,2024-2025
Renato Veiga,1300000,2024-2025
Dwight McNeil,1300000,2024-2025
Julián Araujo,1300000,2024-2025
Chiedozie Ogbene,1300000,2024-2025
Jorge Cuenca,1300000,2024-2025
Sammie Szmodics,1300000,2024-2025
Kosta Nedeljkovic,1040000,2024-2025
Kobbie Mainoo,1040000,2024-2025
Kevin Schade,520000,2024-2025
William Osula,1040000,2024-2025
Wes Burns,520000,2024-2025
Carlos Baleba,650000,2024-2025
Simon Adingra,650000,2024-2025
Enso González,650000,2024-2025
Conor Townsend,780000,2024-2025
Conor Chaplin,780000,2024-2025
Samuel Edozie,780000,2024-2025
James McAtee,780000,2024-2025
Jayden Meghoma,780000,2024-2025
Ryan Manning,780000,2024-2025
Ronnie Edwards,780000,2024-2025
Brandon Austin,780000,2024-2025
Jørgen Strand Larsen,780000,2024-2025
Enes Ünal,780000,2024-2025
Juan Larios,780000,2024-2025
Kasey McAteer,780000,2024-2025
Wes Foderingham,780000,2024-2025
Pedro Lima,780000,2024-2025
Nathan Wood,780000,2024-2025
Curtis Jones,780000,2024-2025
Lucas Bergvall,780000,2024-2025
Yunus Emre Konak,780000,2024-2025
Luke Thomas,780000,2024-2025
Armel Bella-Kotchap,780000,2024-2025
Carlos Miguel,780000,2024-2025
Luke Cundle,780000,2024-2025
Carlos Forbs,1040000,2024-2025
Mateus Fernandes,1040000,2024-2025
Christian Walton,1040000,2024-2025
Brajan Gruda,2600000,2024-2025
Arijanet Muric,1300000,2024-2025
Alejandro Garnacho,2600000,2024-2025
Lucas Digne,6240000,2024-2025
Leny Yoro,5980000,2024-2025
James Ward-Prowse,5980000,2024-2025
Lisandro Martínez,6240000,2024-2025
Kieran Trippier,6240000,2024-2025
Dominik Szoboszlai,6240000,2024-2025
Aaron Ramsdale,6240000,2024-2025
Tosin Adarabioyo,6240000,2024-2025
Sandro Tonali,6240000,2024-2025
Alexander Isak,6240000,2024-2025
Riccardo Calafiori,6240000,2024-2025
Alphonse Areola,6240000,2024-2025
André Onana,6240000,2024-2025
Manuel Ugarte,6240000,2024-2025
John McGinn,6240000,2024-2025
Leon Bailey,6240000,2024-2025
Niclas Füllkrug,4680000,2024-2025
Victor Lindelöf,6240000,2024-2025
Cody Gakpo,6240000,2024-2025
Danny Ings,6500000,2024-2025
Jordan Pickford,6500000,2024-2025
Matheus Nunes,6760000,2024-2025
Ollie Watkins,6760000,2024-2025
Abdoulaye Doucouré,6760000,2024-2025
Mikel Merino,6760000,2024-2025
Cole Palmer,6760000,2024-2025
Bernd Leno,6760000,2024-2025
Noussair Mazraoui,7020000,2024-2025
Darwin Núñez,7280000,2024-2025
Diogo Jota,7280000,2024-2025
Amadou Onana,7280000,2024-2025
Jorginho,5720000,2024-2025
Dejan Kulusevski,5720000,2024-2025
Kieran Tierney,5720000,2024-2025
Joshua Zirkzee,5460000,2024-2025
Richarlison,4680000,2024-2025
Sven Botman,4680000,2024-2025
Jurrien Timber,4680000,2024-2025
Joachim Andersen,4680000,2024-2025
Emerson,4940000,2024-2025
Diego Carlos,5200000,2024-2025
Max Kilman,5200000,2024-2025
Dean Henderson,5200000,2024-2025
David Raya,5200000,2024-2025
Gabriel Magalhães,5200000,2024-2025
Levi Colwill,5200000,2024-2025
Ian Maatsen,5200000,2024-2025
Nicolas Jackson,5200000,2024-2025
Reiss Nelson,5200000,2024-2025
Raúl Jiménez,5200000,2024-2025
Tyrone Mings,5200000,2024-2025
Jadon Sancho,5200000,2024-2025
Edson Álvarez,5200000,2024-2025
Ederson,5200000,2024-2025
Mykhailo Mudryk,5200000,2024-2025
Eberechi Eze,5200000,2024-2025
James Tarkowski,5200000,2024-2025
Matt Targett,5200000,2024-2025
Takehiro Tomiyasu,5200000,2024-2025
Dominic Calvert-Lewin,5200000,2024-2025
Pau Torres,5200000,2024-2025
Carney Chukwuemeka,5200000,2024-2025
Nikola Milenković,5460000,2024-2025
Daichi Kamada,5460000,2024-2025
Jamie Vardy,7280000,2024-2025
Christian Eriksen,7800000,2024-2025
Emiliano Martínez,7800000,2024-2025
Enzo Fernández,9360000,2024-2025
Heung-min Son,9880000,2024-2025
Harry Maguire,9880000,2024-2025
William Saliba,9880000,2024-2025
Bukayo Saka,10140000,2024-2025
Christopher Nkunku,10140000,2024-2025
Matthijs de Ligt,10140000,2024-2025
Antony,10400000,2024-2025
Josko Gvardiol,10400000,2024-2025
Thomas Partey,10400000,2024-2025
Ben Chilwell,10400000,2024-2025
Wesley Fofana,10400000,2024-2025
Rodri,11440000,2024-2025
Virgil van Dijk,11440000,2024-2025
Phil Foden,11700000,2024-2025
İlkay Gündoğan,11960000,2024-2025
Martin Ødegaard,12480000,2024-2025
Declan Rice,12480000,2024-2025
Reece James,13000000,2024-2025
Mason Mount,13000000,2024-2025
John Stones,13000000,2024-2025
Gabriel Jesus,13780000,2024-2025
Kai Havertz,14560000,2024-2025
Marcus Rashford,15600000,2024-2025
Bernardo Silva,15600000,2024-2025
Jack Grealish,15600000,2024-2025
Bruno Fernandes,15600000,2024-2025
Mohamed Salah,18200000,2024-2025
Casemiro,18200000,2024-2025
Pervis Estupiñán,2600000,2024-2025
Gabriel Martinelli,9360000,2024-2025
Rúben Dias,9360000,2024-2025
Federico Chiesa,7800000,2024-2025
Manuel Akanji,9360000,2024-2025
Jadon Sancho,7800000,2024-2025
Joelinton,7800000,2024-2025
Boubacar Kamara,7800000,2024-2025
Ben White,7800000,2024-2025
Lloyd Kelly,7800000,2024-2025
Lucas Paquetá,7800000,2024-2025
Luke Shaw,7800000,2024-2025
Mateo Kovacic,7800000,2024-2025
Anthony Gordon,7800000,2024-2025
Moisés Caicedo,7800000,2024-2025
Oleksandr Zinchenko,7800000,2024-2025
Alisson,7800000,2024-2025
Ryan Gravenberch,7800000,2024-2025
Alexis Mac Allister,7800000,2024-2025
Youri Tielemans,7800000,2024-2025
Jarrod Bowen,7800000,2024-2025
Pedro Neto,8320000,2024-2025
Andrew Robertson,8320000,2024-2025
Nathan Aké,8320000,2024-2025
Bruno Guimarães,8320000,2024-2025
Raheem Sterling,8450000,2024-2025
Raheem Sterling,8450000,2024-2025
Timo Werner,8580000,2024-2025
Cristian Romero,8580000,2024-2025
James Maddison,8840000,2024-2025
João Félix,8840000,2024-2025
Kyle Walker,9100000,2024-2025
Marc Cucurella,9100000,2024-2025
Trent Alexander-Arnold,9360000,2024-2025
Odsonne Edouard,4680000,2024-2025
Kalvin Phillips,7800000,2024-2025
Pablo Sarabia,4680000,2024-2025
Mats Wieffer,3120000,2024-2025
Yves Bissouma,2860000,2024-2025
Emil Krafth,2860000,2024-2025
Boubacar Traoré,2860000,2024-2025
Luis Díaz,2860000,2024-2025
Ben Mee,2860000,2024-2025
Sander Berge,2860000,2024-2025
Vitaliy Mykolenko,3016000,2024-2025
Jakub Kiwior,3016000,2024-2025
Lewis Cook,3120000,2024-2025
Adam Armstrong,3120000,2024-2025
Danny Welbeck,3120000,2024-2025
Robert Sánchez,3120000,2024-2025
Tyler Adams,3120000,2024-2025
Miguel Almirón,3120000,2024-2025
Matheus Cunha,3120000,2024-2025
Ryan Christie,3640000,2024-2025
Jeffrey Schlupp,3120000,2024-2025
Jannik Vestergaard,3120000,2024-2025
James Milner,3120000,2024-2025
Emile Smith Rowe,3120000,2024-2025
Nick Pope,3120000,2024-2025
Saša Lukić,3276000,2024-2025
Timothy Castagne,3380000,2024-2025
Lukasz Fabianski,3380000,2024-2025
Adama Traoré,3380000,2024-2025
Jonny Evans,3380000,2024-2025
Maxwel Cornet,3380000,2024-2025
Luis Sinisterra,3380000,2024-2025
Pape Sarr,3640000,2024-2025
Brennan Johnson,3640000,2024-2025
Séamus Coleman,2860000,2024-2025
Adam Webster,2860000,2024-2025
Dan Burn,2860000,2024-2025
Sergio Reguilón,2756000,2024-2025
Konstantinos Mavropanos,2600000,2024-2025
Mohammed Kudus,4680000,2024-2025
Orel Mangala,2600000,2024-2025
Igor Thiago,2600000,2024-2025
Antoine Semenyo,2600000,2024-2025
Oliver Skipp,2600000,2024-2025
Aaron Cresswell,2600000,2024-2025
Antonee Robinson,2600000,2024-2025
Robin Olsen,2600000,2024-2025
Andreas Pereira,2600000,2024-2025
Matt Doherty,2600000,2024-2025
Odysseas Vlachodimos,2600000,2024-2025
Sean Longstaff,2600000,2024-2025
Joël Veltman,2600000,2024-2025
Trevoh Chalobah,2600000,2024-2025
Nathaniel Clyne,2600000,2024-2025
Kenny Tete,2600000,2024-2025
Mathias Jensen,2600000,2024-2025
João Pedro,2600000,2024-2025
David Brooks,2600000,2024-2025
Taiwo Awoniyi,2600000,2024-2025
Hamza Choudhury,2600000,2024-2025
Jesper Lindstrøm,2600000,2024-2025
Jérémy Doku,2600000,2024-2025
Noni Madueke,2600000,2024-2025
Oscar Bobb,2600000,2024-2025
Matt O&#39;Riley,2600000,2024-2025
Micky van de Ven,2600000,2024-2025
Jean-Philippe Mateta,2600000,2024-2025
Joe Aribo,3640000,2024-2025
Chris Richards,2860000,2024-2025
Jefferson Lerma,3640000,2024-2025
Rasmus Højlund,4420000,2024-2025
Ricardo Pereira,4160000,2024-2025
Justin Kluivert,4160000,2024-2025
Boubakary Soumaré,4160000,2024-2025
Kaoru Mitoma,4160000,2024-2025
Kiernan Dewsbury-Hall,4160000,2024-2025
Lewis Dunk,4160000,2024-2025
Ben Davies,4160000,2024-2025
Michael Keane,4160000,2024-2025
Morgan Gibbs-White,4160000,2024-2025
Axel Disasi,4160000,2024-2025
Idrissa Gueye,4160000,2024-2025
Matty Cash,4160000,2024-2025
Joe Gomez,4420000,2024-2025
Radu Drăgușin,4420000,2024-2025
Michail Antonio,4420000,2024-2025
Joe Willock,4160000,2024-2025
Evanilson,4420000,2024-2025
Diogo Dalot,4420000,2024-2025
Ferdi Kadıoğlu,4550000,2024-2025
Gonçalo Guedes,4680000,2024-2025
Tomas Soucek,4680000,2024-2025
Aaron Wan-Bissaka,4680000,2024-2025
Jack Harrison,4680000,2024-2025
Eddie Nketiah,4680000,2024-2025
Dominic Solanke,4680000,2024-2025
Harry Winks,4680000,2024-2025
Leandro Trossard,4680000,2024-2025
Jan Bednarek,3640000,2024-2025
Benoît Badiashile,4680000,2024-2025
Stefan Ortega Moreno,4680000,2024-2025
Chris Wood,4160000,2024-2025
Pedro Porro,4420000,2024-2025
Rodrigo Bentancur,3900000,2024-2025
Kepa Arrizabalaga,3900000,2024-2025
Ibrahima Konaté,3640000,2024-2025
Callum Hudson-Odoi,4160000,2024-2025
Hee-chan Hwang,3640000,2024-2025
Cheick Doucouré,3640000,2024-2025
Aaron Hickey,3640000,2024-2025
Ismaïla Sarr,3640000,2024-2025
Georginio Rutter,3900000,2024-2025
Ezri Konsa,3900000,2024-2025
Wilfred Ndidi,3900000,2024-2025
Patson Daka,3900000,2024-2025
Tyrell Malacia,3900000,2024-2025
Issa Diop,3640000,2024-2025
Konstantinos Tsimikas,3900000,2024-2025
Fraser Forster,3900000,2024-2025
Jacob Ramsey,3640000,2024-2025
Guido Rodríguez,3900000,2024-2025
Alex Iwobi,4160000,2024-2025
Carlos Soler,4160000,2024-2025
Harvey Barnes,4160000,2024-2025
Nélson Semedo,4160000,2024-2025
Conor Coady,3900000,2024-2025
Archie Gray,3900000,2024-2025
Guglielmo Vicario,3900000,2024-2025
Destiny Udogie,3900000,2024-2025
Kepa Arrizabalaga,3900000,2024-2025
Jhon Durán,3900000,2024-2025
Ibrahim Sangaré,3900000,2024-2025
Emiliano Buendía,3900000,2024-2025
Nathan Collins,1560000,2023-2024
Vitaly Janelt,1560000,2023-2024
Orel Mangala,1560000,2023-2024
Zeki Amdouni,1560000,2023-2024
Youssef Chermiti,1560000,2023-2024
Nuno Tavares,1560000,2023-2024
Ethan Pinnock,1560000,2023-2024
James Garner,1560000,2023-2024
Tahith Chong,1560000,2023-2024
Lloyd Kelly,1560000,2023-2024
João Gomes,1560000,2023-2024
Jacob Brown,1560000,2023-2024
Danilo,1560000,2023-2024
Santiago Bueno,1560000,2023-2024
Joshua Da Silva,1560000,2023-2024
Marvelous Nakamba,1560000,2023-2024
Ross Barkley,1560000,2023-2024
Tom Davies,1560000,2023-2024
Mikkel Damsgaard,1560000,2023-2024
Milos Kerkez,1560000,2023-2024
Marquinhos,1560000,2023-2024
Gustavo Hamer,1560000,2023-2024
Vinicius Souza,1560000,2023-2024
Scott Carson,1560000,2023-2024
Evan Ferguson,1560000,2023-2024
Mark Flekken,1560000,2023-2024
Tom Cairney,1560000,2023-2024
Charlie Taylor,1560000,2023-2024
Anel Ahmedhodzic,1560000,2023-2024
Elliot Anderson,1560000,2023-2024
Jhon Durán,1560000,2023-2024
Tim Ream,1560000,2023-2024
David Datro Fofana,1560000,2023-2024
Murillo,1560000,2023-2024
Cameron Archer,1560000,2023-2024
Yoane Wissa,1300000,2023-2024
Amad Diallo,1500000,2023-2024
Nathan Patterson,1456000,2023-2024
Djordje Petrovic,1300000,2023-2024
Djed Spence,1300000,2023-2024
Anthony Elanga,1300000,2023-2024
Auston Trusty,1300000,2023-2024
Thomas Strakosha,1300000,2023-2024
Nathan Ferguson,1300000,2023-2024
Gonzalo Montiel,1300000,2023-2024
Zanka,1300000,2023-2024
Ryan Yates,1300000,2023-2024
Vitinho,1300000,2023-2024
Oliver McBurnie,1300000,2023-2024
John Fleck,1300000,2023-2024
Antoine Semenyo,1040000,2023-2024
Connor Roberts,1560000,2023-2024
Isaac Hayden,1144000,2023-2024
Rico Lewis,1300000,2023-2024
Dwight McNeil,1300000,2023-2024
Valentín Barco,1300000,2023-2024
Thomas Kaminski,1300000,2023-2024
Alejo Véliz,1300000,2023-2024
Jordan Ayew,1300000,2023-2024
Toti Gomes,1300000,2023-2024
Darren Randolph,1300000,2023-2024
Ilya Zabarnyi,1300000,2023-2024
Adam Davies,1300000,2023-2024
Tim Krul,1300000,2023-2024
Aaron Ramsey,1300000,2023-2024
James Trafford,1300000,2023-2024
Jack Robinson,1300000,2023-2024
Ivo Grbic,1300000,2023-2024
Benson Manuel,1300000,2023-2024
Arijanet Muric,1300000,2023-2024
Carlos Vinícius,1300000,2023-2024
Ionut Radu,1560000,2023-2024
Ashley Young,2080000,2023-2024
Jan Paul van Hecke,1560000,2023-2024
Nicolás Domínguez,1820000,2023-2024
Lewis Cook,2080000,2023-2024
Kristoffer Ajer,2080000,2023-2024
Emile Smith Rowe,2080000,2023-2024
Jamaal Lascelles,2080000,2023-2024
Matheus França,2080000,2023-2024
Matt Turner,2080000,2023-2024
Tosin Adarabioyo,2080000,2023-2024
Armando Broja,2080000,2023-2024
Giovanni Reyna,2080000,2023-2024
Bryan Gil,2080000,2023-2024
Emerson,2080000,2023-2024
Frank Onyeka,2080000,2023-2024
Sam Johnstone,2080000,2023-2024
Deivid Washington,2080000,2023-2024
Rhian Brewster,1820000,2023-2024
Ola Aina,2080000,2023-2024
Josh Cullen,2080000,2023-2024
Alex Scott,2080000,2023-2024
Harvey Elliott,2080000,2023-2024
Daniel Muñoz,2340000,2023-2024
Andros Townsend,1040000,2023-2024
Odysseas Vlachodimos,2340000,2023-2024
Philip Billing,2340000,2023-2024
Rob Holding,2340000,2023-2024
Tyrick Mitchell,2080000,2023-2024
Armando Broja,2080000,2023-2024
Oliver Skipp,2080000,2023-2024
Sander Berge,2080000,2023-2024
Stefan Bajcetic,2080000,2023-2024
José Sá,2080000,2023-2024
Willy Boly,2080000,2023-2024
Jay Rodríguez,2080000,2023-2024
Martin Dubravka,2080000,2023-2024
Matz Sels,1820000,2023-2024
Marcus Bettinelli,1820000,2023-2024
Lyle Foster,1690000,2023-2024
Jarrad Branthwaite,1820000,2023-2024
Ryan Fredericks,1820000,2023-2024
Altay Bayındır,1820000,2023-2024
Christian Nørgaard,1820000,2023-2024
Jean-Ricner Bellegarde,1820000,2023-2024
Tariq Lamptey,1820000,2023-2024
Keane Lewis-Potter,1820000,2023-2024
Bart Verbruggen,1820000,2023-2024
Jacob Murphy,1820000,2023-2024
Javier Manquillo,1820000,2023-2024
Paul Dummett,1820000,2023-2024
Andrew Omobamidele,1820000,2023-2024
Ben Brereton,1820000,2023-2024
Rico Henry,1820000,2023-2024
Harry Toffolo,1820000,2023-2024
Fodé Ballo-Touré,1690000,2023-2024
Romain Faivre,1820000,2023-2024
Adam Wharton,1820000,2023-2024
Jacob Bruun Larsen,1820000,2023-2024
Joel Ward,1820000,2023-2024
Bobby Reid,1820000,2023-2024
Álex Moreno,1820000,2023-2024
Nathan Redmond,1820000,2023-2024
Vladimir Coufal,1820000,2023-2024
Sasa Kalajdzic,1820000,2023-2024
Adam Smith,1820000,2023-2024
Chris Mepham,1820000,2023-2024
Jóhann Berg Gudmundsson,1820000,2023-2024
Dango Ouattara,1820000,2023-2024
Harry Wilson,1820000,2023-2024
Ryan Giles,1820000,2023-2024
Marcus Tavernier,1820000,2023-2024
Max Aarons,1820000,2023-2024
Jonny Otto,1820000,2023-2024
Cauley Woodrow,1040000,2023-2024
Joe Hodge,260000,2023-2024
Giulian Biancone,1040000,2023-2024
Cesare Casadei,390000,2023-2024
Joe Gauci,520000,2023-2024
Mike Trésor,520000,2023-2024
Daniel Bentley,520000,2023-2024
Rhys Williams,520000,2023-2024
Wilson Odobert,520000,2023-2024
Diego Moreira,520000,2023-2024
Conor Bradley,520000,2023-2024
Caoimhín Kelleher,520000,2023-2024
Brandon Aguilera,520000,2023-2024
Lewis Dobbin,416000,2023-2024
Charlie Goode,416000,2023-2024
Joe Rothwell,416000,2023-2024
Remi Matthews,390000,2023-2024
James Shea,390000,2023-2024
João Virgínia,390000,2023-2024
Kortney Hause,520000,2023-2024
Amari&#39;i Bell,520000,2023-2024
Carlton Morris,520000,2023-2024
Luca Koleosho,520000,2023-2024
Karl Hein,520000,2023-2024
Hákon Rafn Valdimarsson,520000,2023-2024
Tom McGill,520000,2023-2024
Ellery Balcombe,520000,2023-2024
Darko Churlinov,520000,2023-2024
Lorenz Assignon,520000,2023-2024
Teden Mengi,520000,2023-2024
Dan Potts,520000,2023-2024
Rayan Aït-Nouri,520000,2023-2024
Pelly Ruddock Mpanzu,520000,2023-2024
Luke Berry,520000,2023-2024
Joe Whitworth,520000,2023-2024
Hugo Bueno,520000,2023-2024
Gabriel Osho,520000,2023-2024
Andy Lonergan,390000,2023-2024
Rodrigo Ribeiro,390000,2023-2024
Jakub Moder,520000,2023-2024
Willy Kambwala,390000,2023-2024
Maxime Estève,260000,2023-2024
Divin Mubama,208000,2023-2024
Daniel Jebbison,208000,2023-2024
Enock Agyei,208000,2023-2024
Joseph Anang,208000,2023-2024
Rhys Norrington-Davies,208000,2023-2024
Alex Mighten,180000,2023-2024
Denis Franchi,156000,2023-2024
James Hill,156000,2023-2024
Jordan Beyer,156000,2023-2024
Elliot Thorpe,130000,2023-2024
Ryan Trevitt,130000,2023-2024
Gavin Kilkenny,78000,2023-2024
Louie Marsh,52000,2023-2024
Tom Heaton,2340000,2023-2024
Tyler Onyango,260000,2023-2024
Lewis Miley,260000,2023-2024
Yegor Yarmolyuk,260000,2023-2024
Lewis Hall,364000,2023-2024
Alfie Doughty,390000,2023-2024
Jesurun Rak-Sakyi,390000,2023-2024
Rodrigo Muniz,390000,2023-2024
Alfie Whiteman,390000,2023-2024
Tyrese Francois,364000,2023-2024
Lawrence Vigouroux,364000,2023-2024
CJ Egan-Riley,312000,2023-2024
Noha Lemina,260000,2023-2024
Fred Onyedinma,312000,2023-2024
