Season,Average Salary
2024-25,3521900
2023-24,3167534
2022-23,3523096
2021-22,3243944
2020-21,2928754
2019-20,2813526
2018-19,2098981
2017-18,2031578
2016-17,1687701
2015-16,1491032
2014-15,1502694
2013-14,1272854
