Team,season,revenue,points
Man City,2018,500.5,100
Man Utd,2018,589.8,81
Chelsea,2018,443.4,70
Arsenal,2018,388.6,63
Tottenham,2018,380.7,77
Liverpool,2018,455.1,75
Everton,2018,189.2,49
West Ham,2018,175.4,42
Crystal Palace,2018,150.3,44
Burnley,2018,139,54
Leicester,2018,158.9,47
Newcastle,2018,178.5,44
Bournemouth,2018,134.9,44
Watford,2018,128.2,41
Brighton,2018,139.2,40
Huddersfield,2018,125.2,37
Southampton,2018,148.4,36
Swansea,2018,126.8,33
Stoke,2018,127.2,33
West Brom,2018,124.8,31
