Team,season,revenue,points
Man City,2023,718,89
Man Utd,2023,650,75
Chelsea,2023,512.5,44
Arsenal,2023,464,84
Tottenham,2023,549,60
Liverpool,2023,594,67
Everton,2023,172.2,36
West Ham,2023,235.4,40
Crystal Palace,2023,179.5,45
Wolves,2023,168.6,41
Newcastle,2023,250,71
Brighton,2023,203.6,62
Aston Villa,2023,204.5,61
Brentford,2023,166.5,59
Fulham,2023,182.3,52
Bournemouth,2023,141,39
Nottingham Forest,2023,155,38
Leicester,2023,177.3,34
Leeds,2023,189.7,31
Southampton,2023,145.5,25
